Name,cs_group,Category,Location,latitude,longitude
MH3_A,A,House,Mayschoß,50.518395,7.020858333333333
MH4_A,A,House,Mayschoß,50.51859666666667,7.020876666666667
MH5_A,A,House,Mayschoß,50.51859666666667,7.020876666666667
MH6,-,House,Mayschoß,50.51857,7.020858333333333
MH7,-,House,Mayschoß,50.518635,7.02095
MH8,-,House,Mayschoß,50.52012,7.020605
MH9,-,House,Mayschoß,50.520165,7.020593333333333
MS01,,Scour,Mayschoß,50.5186177753928,7.02122474239656
MW1,,Watermark,Mayschoß,50.5178784940804,7.01932016043719
MW1,,Watermark,Mayschoß,50.5178784940804,7.01932016043719
MW2,,Watermark,Mayschoß,50.5196582365503,7.02095481030437
RH1,-,House,Rech,50.51432166666667,7.036785
RH2,-,House,Rech,50.51430333333333,7.036335
RH3,-,House,Rech,50.514376666666664,7.0362816666666665
RM1,-,Misc,Rech,50.51432166666667,7.036785
SH01_A,A,House,Schuld,50.446131666666666,6.883606666666667
SH02_A,A,House,Schuld,50.446015,6.883958333333333
SH03,-,House,Schuld,50.44600833333333,6.884805
SH04_B,B,House,Schuld,50.44602666666667,6.884825
SH05_B,B,House,Schuld,50.44616,6.88497
SH06,-,House,Schuld,50.445818333333335,6.884923333333333
SH07,-,House,Schuld,50.445735,6.8849350000000005
SH08,-,House,Schuld,50.44573,6.884991666666666
SH09,-,House,Schuld,50.44589333333333,6.885571666666666
SH10,-,House,Schuld,50.44589333333333,6.885571666666666
SH11,-,House,Schuld,50.44596333333333,6.886031666666667
SH12,-,House,Schuld,50.445995,6.886041666666666
SH13,-,House,Schuld,50.445908333333335,6.886538333333333
SH14_C,C,House,Schuld,50.446106666666665,6.886838333333333
SH15_C,C,House,Schuld,50.446106666666665,6.886838333333333
SH16_C,C,House,Schuld,50.446106666666665,6.886838333333333
SH17_C,C,House,Schuld,50.446106666666665,6.886838333333333
SH18_C,C,House,Schuld,50.446373333333334,6.886595
SH19_C,C,House,Schuld,50.446466666666666,6.8866499999999995
SH20_D,D,House,Schuld,50.446691666666666,6.886398333333333
SH21_D,D,House,Schuld,50.44670833333333,6.886376666666667
SH22_D,D,House,Schuld,50.44672166666667,6.886408333333334
SH23_D,D,House,Schuld,50.44672333333333,6.886323333333333
SH24_D,D,House,Schuld,50.44678666666667,6.886365
SH25_D,D,House,Schuld,50.44678666666667,6.886365
SH26_D,D,House,Schuld,50.446765,6.886511666666666
SH27_D,D,House,Schuld,50.446753333333334,6.886511666666666
SH28_D,D,House,Schuld,50.44680666666667,6.886565
SH29_E,E,House,Schuld,50.446805,6.886368333333333
SH30_E,E,House,Schuld,50.44678,6.886368333333333
SH31_E,E,House,Schuld,50.44667,6.886281666666667
SH32_E,E,House,Schuld,50.44667,6.886281666666667
SH33_E,E,House,Schuld,50.44665666666667,6.886246666666667
SH34_E,E,House,Schuld,50.44663333333333,6.886235
SH35_E,E,House,Schuld,50.44663333333333,6.886278333333333
SH36,-,House,Schuld,50.446805,6.886368333333333
SH37,-,House,Schuld,50.44692166666667,6.886441666666666
SM01,-,Misc,Schuld,50.44782,6.886655
SM02,-,Misc,Schuld,50.44667166666667,6.88616
SM03,-,Misc,Schuld,50.44667166666667,6.88616
SM04,-,Misc,Schuld,50.44613,6.8854
SM05,-,Misc,Schuld,50.445638333333335,6.884785
SM06,-,Misc,Schuld,50.445745,6.884245
SM07,-,Misc,Schuld,50.44571666666667,6.8841833333333335
SM08,-,Misc,Schuld,50.446015,6.884225
SM09,-,Misc,Schuld,50.446015,6.884225
SM10,-,Misc,Schuld,50.446015,6.884225
SM11,-,Misc,Schuld,50.44613,6.888075
SM12,-,Misc,Schuld,50.44613,6.888075
SM13,-,Misc,Schuld,50.44615,6.888251666666667
SS01,-,Scour,Schuld,50.44665785,6.886958
SS02,-,Scour,Schuld,50.446171,6.887874
SW1,-,Watermark,Schuld,50.44857833333333,6.885725
SW2,-,Watermark,Schuld,50.44689,6.88646
SW3,-,Watermark,Schuld,50.446835,6.886705
SW4,-,Watermark,Schuld,50.446106666666665,6.886838333333333
SW5,-,Watermark,Schuld,50.44589333333333,6.885571666666666
SW6,-,Watermark,Schuld,50.44598333333333,6.885371666666667
SW7,-,Watermark,Schuld,50.446015,6.884225
SW8,-,Watermark,Schuld,50.446015,6.884225
SW9,-,Watermark,Schuld,50.446835,6.886705
